employee_id,name,store_id,role,shift,orders_handled,primary_metric,average_value,performance_score
emp_03422,Mia Gupta,store_032,picker,evening,1,items_per_hour,80.21,100.26
emp_00901,Layla Jones,store_036,picker,evening,3,items_per_hour,75.07,93.84
emp_03253,Noah Lee,store_016,stager,evening,1,minutes_per_order,2.0,93.33
emp_01249,Olivia Thomas,store_022,dispenser,morning,3,minutes_per_order,2.33,92.23
emp_04912,Kai Brown,store_016,dispenser,morning,2,minutes_per_order,2.5,91.67
emp_00358,Ethan Johnson,store_049,dispenser,midday,11,minutes_per_order,2.91,90.3
emp_02288,Fatima Carter,store_035,dispenser,midday,1,minutes_per_order,3.0,90.0
emp_02147,Kai Baker,store_025,dispenser,morning,10,minutes_per_order,3.1,89.67
emp_02798,Hannah Jones,store_029,dispenser,evening,9,minutes_per_order,3.22,89.27
emp_04873,Deja Gupta,store_045,dispenser,evening,7,minutes_per_order,3.29,89.03
emp_04627,Anika Johnson,store_018,dispenser,morning,6,minutes_per_order,3.33,88.9
emp_00064,Aisha Wilson,store_025,dispenser,evening,6,minutes_per_order,3.33,88.9
emp_01028,Chloe Nguyen,store_015,dispenser,morning,3,minutes_per_order,3.33,88.9
emp_02411,Kai Smith,store_043,dispenser,evening,3,minutes_per_order,3.33,88.9
emp_02217,Zoe Nguyen,store_036,stager,midday,3,minutes_per_order,3.33,88.9
emp_04561,Noah Shah,store_014,dispenser,midday,13,minutes_per_order,3.38,88.73
emp_03831,Isaiah Williams,store_002,dispenser,evening,5,minutes_per_order,3.4,88.67
emp_01842,Maya Thomas,store_046,picker,evening,1,items_per_hour,70.91,88.64
emp_02898,Kai Carter,store_022,dispenser,morning,2,minutes_per_order,3.5,88.33
emp_04493,Bianca Shah,store_010,dispenser,evening,4,minutes_per_order,3.5,88.33
emp_03210,Chloe Diaz,store_022,dispenser,midday,4,minutes_per_order,3.5,88.33
emp_02679,Maya Baker,store_031,dispenser,evening,4,minutes_per_order,3.5,88.33
emp_04020,Daniel Diaz,store_002,dispenser,midday,8,minutes_per_order,3.75,87.5
emp_02002,Taylor Brown,store_049,dispenser,midday,4,minutes_per_order,3.75,87.5
emp_00556,Aisha Chen,store_034,dispenser,morning,4,minutes_per_order,3.75,87.5
emp_04124,Maya Walker,store_025,dispenser,morning,7,minutes_per_order,3.86,87.13
emp_03478,Zoe Lopez,store_045,dispenser,morning,10,minutes_per_order,3.9,87.0
emp_02291,Carlos Williams,store_046,dispenser,evening,12,minutes_per_order,4.0,86.67
emp_00338,Sam Shah,store_002,dispenser,evening,3,minutes_per_order,4.0,86.67
emp_04121,Maya Chen,store_041,dispenser,evening,4,minutes_per_order,4.0,86.67
emp_03216,Elena Brown,store_043,dispenser,midday,3,minutes_per_order,4.0,86.67
emp_03636,Chloe Brooks,store_045,stager,midday,2,minutes_per_order,4.0,86.67
emp_02309,Grace Brown,store_041,picker,evening,2,items_per_hour,69.16,86.45
emp_03632,Daniel Williams,store_026,dispenser,morning,10,minutes_per_order,4.1,86.33
emp_01380,Layla Diaz,store_043,dispenser,midday,10,minutes_per_order,4.1,86.33
emp_00865,Fatima Smith,store_049,dispenser,evening,9,minutes_per_order,4.11,86.3
emp_00108,Kai Patel,store_003,dispenser,midday,8,minutes_per_order,4.12,86.27
emp_01458,Ben Wilson,store_041,dispenser,evening,8,minutes_per_order,4.12,86.27
emp_01909,Sarah Carter,store_025,dispenser,midday,8,minutes_per_order,4.12,86.27
emp_04183,Anika Lee,store_010,dispenser,morning,7,minutes_per_order,4.14,86.2
emp_02178,Priya Wilson,store_035,dispenser,morning,5,minutes_per_order,4.2,86.0
emp_00399,Sarah Nguyen,store_028,dispenser,midday,13,minutes_per_order,4.23,85.9
emp_04791,Ravi Shah,store_022,dispenser,morning,8,minutes_per_order,4.25,85.83
emp_03743,Priya Davis,store_022,dispenser,morning,8,minutes_per_order,4.25,85.83
emp_03775,Fatima Jones,store_027,dispenser,evening,12,minutes_per_order,4.25,85.83
emp_02501,Fatima Brooks,store_013,dispenser,evening,11,minutes_per_order,4.27,85.77
emp_03586,Jordan Robinson,store_003,dispenser,morning,7,minutes_per_order,4.29,85.7
emp_01810,Ben Young,store_047,dispenser,morning,16,minutes_per_order,4.31,85.63
emp_04345,Jalen Shah,store_033,dispenser,morning,9,minutes_per_order,4.33,85.57
emp_02711,Sam Martinez,store_010,dispenser,midday,6,minutes_per_order,4.33,85.57
emp_04995,Liam Lopez,store_015,dispenser,midday,6,minutes_per_order,4.33,85.57
emp_03830,Maya Thomas,store_035,dispenser,midday,6,minutes_per_order,4.33,85.57
emp_04023,Hannah Brooks,store_018,dispenser,evening,9,minutes_per_order,4.33,85.57
emp_01985,Deja Smith,store_037,dispenser,morning,17,minutes_per_order,4.35,85.5
emp_02244,Jordan Gupta,store_008,dispenser,morning,14,minutes_per_order,4.36,85.47
emp_04661,Noah Anderson,store_046,dispenser,midday,11,minutes_per_order,4.36,85.47
emp_03726,Chloe Brooks,store_017,dispenser,evening,11,minutes_per_order,4.36,85.47
emp_01326,Grace Davis,store_028,dispenser,morning,13,minutes_per_order,4.38,85.4
emp_02134,Liam Young,store_043,picker,evening,2,items_per_hour,68.32,85.4
emp_00165,Hannah Walker,store_018,dispenser,morning,10,minutes_per_order,4.4,85.33
emp_04329,Sarah Brown,store_046,dispenser,midday,15,minutes_per_order,4.4,85.33
emp_00267,Andre Lee,store_027,dispenser,midday,15,minutes_per_order,4.4,85.33
emp_02820,Isaiah Walker,store_041,dispenser,midday,9,minutes_per_order,4.44,85.2
emp_02086,Elena Johnson,store_034,dispenser,evening,9,minutes_per_order,4.44,85.2
emp_03121,Taylor Patel,store_009,dispenser,evening,9,minutes_per_order,4.44,85.2
emp_01579,Elena Smith,store_003,dispenser,midday,8,minutes_per_order,4.5,85.0
emp_00390,Sofia Patel,store_017,dispenser,evening,8,minutes_per_order,4.5,85.0
emp_01586,Ethan Miller,store_016,dispenser,morning,16,minutes_per_order,4.5,85.0
emp_01328,Hannah Diaz,store_041,dispenser,morning,2,minutes_per_order,4.5,85.0
emp_02179,Zoe Kim,store_004,dispenser,midday,8,minutes_per_order,4.5,85.0
emp_04538,Jalen Brown,store_040,dispenser,midday,4,minutes_per_order,4.5,85.0
emp_02509,Daniel Thomas,store_035,dispenser,midday,10,minutes_per_order,4.5,85.0
emp_04438,Jordan Martinez,store_034,dispenser,midday,6,minutes_per_order,4.5,85.0
emp_02890,Olivia Lee,store_045,dispenser,evening,2,minutes_per_order,4.5,85.0
emp_03477,Ethan Jones,store_004,dispenser,morning,4,minutes_per_order,4.5,85.0
emp_00035,Olivia Anderson,store_016,dispenser,morning,15,minutes_per_order,4.53,84.9
emp_02435,Olivia Brown,store_036,dispenser,morning,20,minutes_per_order,4.55,84.83
emp_04668,Ravi Smith,store_033,dispenser,midday,9,minutes_per_order,4.56,84.8
emp_04174,Ethan Harris,store_006,dispenser,morning,9,minutes_per_order,4.56,84.8
