employee_id,store_id,name,role,shift,hire_date,skill_factor
emp_00001,store_032,Carlos Carter,dispenser,evening,2023-09-01,1.195
emp_00002,store_036,Zoe Wilson,picker,evening,2023-05-17,0.973
emp_00003,store_014,Jordan Jones,dispenser,evening,2024-08-23,1.008
emp_00004,store_024,Zoe Lee,picker,morning,2022-05-23,0.755
emp_00005,store_015,Fatima Anderson,picker,morning,2024-12-20,1.202
emp_00006,store_041,Andre Young,picker,morning,2022-11-08,1.027
emp_00007,store_005,Carlos Smith,picker,evening,2024-03-26,0.967
emp_00008,store_031,Sarah Walker,picker,midday,2022-01-25,1.181
emp_00009,store_007,Sam Wilson,picker,evening,2021-04-21,0.848
emp_00010,store_044,Ben Baker,stager,midday,2025-01-31,1.071
emp_00011,store_022,Ravi Carter,dispenser,midday,2022-01-11,1.081
emp_00012,store_018,Andre Lee,picker,evening,2021-07-20,1.066
emp_00013,store_004,Anika Thomas,stager,morning,2021-12-07,0.973
emp_00014,store_027,Ethan Wilson,picker,midday,2021-05-01,0.993
emp_00015,store_011,Sam Gupta,picker,midday,2024-11-27,1.125
emp_00016,store_047,Sofia Carter,dispenser,morning,2022-08-31,0.988
emp_00017,store_014,Kai Baker,dispenser,morning,2024-04-11,0.824
emp_00018,store_031,Zoe Chen,picker,morning,2023-11-07,0.905
emp_00019,store_006,Grace Jones,dispenser,morning,2024-03-12,1.055
emp_00020,store_016,Alex Patel,stager,morning,2023-05-09,1.025
emp_00021,store_043,Ethan Shah,stager,evening,2022-10-06,0.63
emp_00022,store_016,Carlos Shah,picker,evening,2022-09-07,0.947
emp_00023,store_030,Sam Patel,picker,evening,2021-07-24,1.001
emp_00024,store_005,Taylor Garcia,picker,morning,2022-12-16,0.938
emp_00025,store_005,Jordan Patel,dispenser,evening,2023-12-20,0.936
emp_00026,store_001,Jordan Shah,stager,morning,2021-10-03,1.069
emp_00027,store_017,Isaiah Gupta,picker,evening,2022-03-08,1.159
emp_00028,store_046,Hannah Martinez,picker,midday,2022-05-30,1.127
